4EX	4 (EARTH X)	2000
1602	MARVEL 1602	2003
1602:FF	MARVEL 1602: FANTASTICK FOUR	2006
1602:NW	MARVEL 1602: NEW WORLD	2006
1602:SM	SPIDER-MAN 1602	2010
1985	1985	2008
2001	2001: A SPACE ODYSSEY	1976-1977
2099:MD	2099: MANIFEST DESTINY	1998
2099:WOT	2099: WORLD OF TOMORROW	1996-1997
2099AD	2099 A.D.	1995
2099AD:A	2099 A.D. APOCALYPSE	1995
2099AD:G	2099 A.D. GENESIS	1996
2099U	2099 UNLIMITED	1993-1995
A	AVENGERS	1963-1996, 2004
A2	AVENGERS VOL. 2	1996-1997
A3	AVENGERS VOL. 3	1998-2004
A4	AVENGERS VOL. 4	2010-2012
A5	AVENGERS VOL. 5	2013-
A1959	AVENGERS 1959	2011-2012
A/INV	AVENGERS/INVADERS	2008-2009
A/SQS	AVENGERS/SQUADRON SUPREME	1998
A/TB	AVENGERS/THUNDERBOLTS	2004
A/ULTRAF	AVENGERS/ULTRAFORCE	1995
A:C	AVENGERS: CROSSING	1995
A:CC	AVENGERS: CHILDREN'S CRUSADE	2010-2012
A:CC-YA	AVENGERS: CHILDREN'S CRUSADE - YOUNG AVENGERS	2011
A:CE	AVENGERS: COLLECTORS EDITION	1993
A:CQ	AVENGERS: CELESTIAL QUEST	2001-2002
A:CS	AVATAARS: COVENANT OF THE SHIELD	2000
A:DV	AVENGERS: DEATHTRAP, THE VAULT	1991
A:EMH	AVENGERS: EARTH'S MIGHTIEST HEROES	2005
A:EMH2	AVENGERS: EARTH'S MIGHTIEST HEROES VOL. 2	2007
A:FINALE	AVENGERS: FINALE	2005
A:I	AVENGERS: INITIATIVE	2007-2010
A:IFR	AVENGERS: INITIATIVE FEATURING REPTIL	2009
A:IS	AVENGERS: INITIATIVE SPECIAL	2009
A:KS	AVENGERS: KORVAC SAGA TPB	1991
A:LBM	ADAM: LEGEND OF THE BLUE MARVEL	2009
A:O	AVENGERS: ORIGIN	2010
A:T	AVENGERS: TIMESLIDE	1996
A:TO	AVENGERS: TERMINATRIX OBJECTIVE	1993
A:UI	AVENGERS: ULTRON IMPERATIVE	2001
A:XS	AVENGERS: X-SANCTION	2012
AA	AMAZING ADVENTURES	1961
AA2	AMAZING ADVENTURES VOL. 2	1970-1976
AACAD	AVENGERS ACADEMY	2010-2013
AAF	AMAZING FANTASY	1962, 1996
AASS	AVENGERS ASSEMBLE	2012-2014
ABOM	ABOMINATIONS	1996-1997
AC	AVENGERS CLASSIC	2007-2008
ACADX	NEW X-MEN: ACADEMY X	2004-2005
ACADXYB	NEW X-MEN: ACADEMY X YEARBOOK	2005
AD	AMERICAN DREAM	2008
AF	ALPHA FLIGHT	1983-1994
AF2	ALPHA FLIGHT VOL. 2	1997-1999
AF3	ALPHA FLIGHT VOL. 3	2004-2005
AF4	ALPHA FLIGHT VOL. 4	2011-2012
AF SPECIAL	ALPHA FLIGHT SPECIAL: FIRST FLIGHT	1992
AF/INH	ALPHA FLIGHT/INHUMANS	1998
AFT	AVENGERS FAIRY TALES	2008
AGENTX	AGENT X	2002-2003
